,SHIPNAME,LAT,LON
0,PIONEERING SPIRIT,51.96167,3.977
1,OLYMPIC LIFE,49.75154,-0.2291283
2,TSUSHIMA,57.42607,10.79272
3,CORON,40.81417,27.65035
4,HOJO,51.15975,1.858538
5,SEA JADE,60.81838,5.03371
6,HERCULES I,57.48291,10.73565
7,HMM ST PETERSBURG,51.56501,2.106575
8,MSC AMELIA,52.13401,3.477593
9,MSC FEBE,41.31192,2.152192
10,CMA CGM LOUVRE,53.59307,8.153288
11,CMACGM JACQUES SAADE,50.30409,-0.91278
12,MORTEN MAERSK,57.6882,11.85975
13,MAREN MAERSK,54.11582,7.432583
14,MAYVIEW MAERSK,56.09687,7.047266
15,MAERSKMCKINNEYMOLLER,54.74529,6.6156
16,[SAT-AIS],54.75893,6.728983
17,MARSTAL MAERSK,55.1344,18.58453
18,BERGE GROSSGLOCKNER,40.48969,27.07916
19,MUMBAI MAERSK,50.41557,-0.5522
20,MOSCOW MAERSK,51.95428,1.712967
21,LONG MAY,40.46083,17.22504
22,ARIADNE,45.57744,13.68482
23,DAN MAY,53.51806,9.935668
24,MSC MIRJAM,40.84638,27.68729
25,COSCO SHIPPING LIBRA,52.20085,3.106062
26,HMM COPENHAGEN,54.30096,6.654875
27,[SAT-AIS],54.30167,6.665
28,EVER GREET,52.25507,2.149215
29,SALT ISLAND,54.63689,11.3764
30,MSC OSCAR,40.80975,28.7195
31,MSC SVEVA,49.59731,-0.924685
32,CMA CGM JEAN MERMOZ,49.61848,-0.2633
33,MSC HAMBURG,51.50382,0.5014667
34,MSC NELA,39.43938,-0.3265483
35,CSCL ATLANTIC OCEAN,54.38777,18.71143
36,MSC NEW YORK,51.2883,4.254055
37,TRUE COURAGE,44.14815,28.78405
38,STELIOS Y,52.46363,4.158232
39,NAVIOS FELIX,39.64782,25.76022
40,SEAFORCE,44.88121,36.69543
41,GOLDEN SAVANNAH,44.09797,36.21252
42,[SAT-AIS],42.5443,32.07667
43,MARAN EXCELLENCE,46.62553,31.02486
44,CAPE PEREGRINE,51.44759,3.70703
45,THALASSINI AVRA,58.10985,3.912848
46,[SAT-AIS],56.92,3.721667
47,ALPHA GRACE,52.47167,4.587317
48,CHENG MAY,40.93758,28.86462
49,MARAN HOPE,41.24099,29.14777
50,FRONTIER SKY,50.47329,0.8206133
51,PHAR LAP,66.90762,10.56973
52,RAIATEA,44.42714,31.00698
53,[SAT-AIS],44.42533,30.95827
54,MAERSK HORSBURGH,45.62923,13.76253
55,KANARIS,52.46198,3.052068
56,[SAT-AIS],55.04,5.496666
57,CHINA PRIDE,40.79763,28.7658
58,MADEIRA,44.54889,36.57487
59,[SAT-AIS],42.9355,33.57325
60,APL SINGAPURA,51.34598,3.18398
61,CYMONA IRON,62.1202,3.99423
62,PACIFIC EAST,52.45649,3.727547
63,AQUAENNA,44.76648,36.60815
64,KPS ORKA SULTAN,40.70718,29.46524
65,[SAT-AIS],59.925,1.295
66,MILITOS,44.20969,37.69099
67,ALEKSEY KOSYGIN,44.59615,37.70295
68,ANTARCTIC,49.4687,0.1539167
69,ARCHANGEL,53.74552,0.4349
70,MSC EMANUELA,53.59353,8.520617
71,[SAT-AIS],43.8159,35.8325
72,HMM HANBADA,54.58568,7.254931
73,[SAT-AIS],54.54,7.09
74,HMM RAON,50.90528,-1.445023
75,VILAMOURA,40.85666,28.35989
76,[SAT-AIS],40.84883,28.20662
77,KAPSALI,44.27954,37.79544
78,DECATHLON,51.73367,2.3467
79,CE HAMILTON,44.70292,37.83475
80,MINERVA VERA,44.21722,36.87927
81,FRONT SAMARA,40.7416,29.75666
82,[SAT-AIS],40.74161,29.75672
83,SPYROS K,57.46201,5.122952
84,FREUD,51.26131,1.784717
85,POLIEGOS,44.2267,36.89293
86,[SAT-AIS],43.0845,33.84196
87,ENERGY TRIUMPH,44.14481,28.66524
88,NORDIC AQUARIUS,52.00404,3.197522
89,[SAT-AIS],52.00333,3.196667
90,FRONT ULL,41.82719,6.850657
91,TAHOE SPIRIT,50.32019,-0.02653667
92,COSCO FRANCE,51.0353,1.64864
93,MARAN HERMES,41.29621,29.58439
94,AURA M,51.39718,2.594312
95,[SAT-AIS],65.11,6.79
96,CSCL JUPITER,43.94687,9.878687
97,CSCL MARS,53.77378,5.370857
98,CSCL SATURN,54.48946,6.852635
99,PARIS EXPRESS,44.41955,8.78
100,HEATHER KNUTSEN,57.11032,-1.867633
101,GRENA KNUTSEN,57.54967,4.875834
102,OSX 1,60.86084,5.034317
103,ONE MACKINAC,41.44241,4.092178
104,YM WINNER,40.76664,28.01914
105,UMM SALAL,41.03907,3.258168
106,OOCL MALAYSIA,40.78008,3.370333
107,[SAT-AIS],65.34372,7.367188
108,MSC TOPAZ,53.99981,8.287137
109,ONE COLUMBA,52.05904,1.85126
110,CAP SAN LAZARO,39.11938,14.55608
111,MARINER B,59.60929,1.078167
112,RAINBOW SPIRIT,59.61825,4.254445
113,[SAT-AIS],65.01334,7.26
114,[SAT-AIS],58.375,3.561667
115,CAP SAN LORENZO,54.20214,7.188608
116,[SAT-AIS],54.1,5.231667
